商场编码,商场名称
016,哈尔滨松雷南岗店
A64,泉州中骏
A80,南昌武商广场
957,南昌铜锣湾T16
198,南昌天虹
047,南昌百盛
158,徐州苏宁百货
106,徐州金鹰
960,福州万象城
195,福州东百
201,银泰开元宝鸡
899,厦门万象城（专门店）
168,厦门SM城市广场
150,厦门中华城
197,济宁贵和广场
